Time,mAU
18.94256,-0.065803528
18.94741333,-0.065386295
18.95226667,-0.064969063
18.95712,-0.06467104
18.96197333,-0.06455183
18.96682667,-0.064492226
18.97168,-0.064492226
18.97653333,-0.064611435
18.98138667,-0.06455183
18.98624,-0.064253807
18.99109333,-0.063717365
18.99594667,-0.063061714
19.0008,-0.062406063
19.00565333,-0.061750412
19.01050667,-0.06121397
19.01536,-0.060915947
19.02021333,-0.060856342
19.02506667,-0.061154366
19.02992,-0.061929226
19.03477333,-0.062942505
19.03962667,-0.064313412
19.04448,-0.065743923
19.04933333,-0.06711483
19.05418667,-0.068366528
19.05904,-0.069141388
19.06389333,-0.06955862
19.06874667,-0.069618225
19.0736,-0.069200993
19.07845333,-0.068426132
19.08330667,-0.067353249
19.08816,-0.06633997
19.09301333,-0.065386295
19.09786667,-0.064849854
19.10272,-0.06455183
19.10757333,-0.064313412
